Ticker	Company	Local Price	Shares Outstanding	Market Cap
PVH	PVH Corp	90.95	"82,543,000.00"	"7,507,285,850.00"
PH	Parker-Hannifin Corp	104.7	"138,419,000.00"	"14,492,469,300.00"
PDCO	Patterson Cos Inc	47.4	"103,376,000.00"	"4,900,022,400.00"
PYPL	PayPal Holdings Inc.	36.01	"1,218,736,000.00"	"43,886,683,360.00"
PAYX	Paychex Inc	51.58	"361,206,000.00"	"18,631,005,480.00"
PNR	Pentair PLC	55.92	"180,056,000.00"	"10,068,731,520.00"
PBCT	People's United Financial Inc	15.95	"309,993,000.00"	"4,944,388,350.00"
POM	Pepco Holdings Inc	26.63	"253,466,000.00"	"6,749,799,580.00"
PEP	PepsiCo Inc	102.19	"1,468,993,000.00"	"150,116,394,670.00"
PKI	PerkinElmer Inc	51.64	"113,383,000.00"	"5,855,098,120.00"
PRGO	Perrigo Company plc	157.74	"146,279,000.00"	"23,074,049,460.00"
PFE	Pfizer Inc	33.82	"6,167,348,000.00"	"208,579,709,360.00"
PM	Philip Morris International	88.4	"1,549,186,000.00"	"136,948,042,400.00"
PSX	Phillips 66	89.05	"538,000,000.00"	"47,908,900,000.00"
PNW	Pinnacle West Capital (AZ)	63.51	"110,814,000.00"	"7,037,797,140.00"
PXD	Pioneer Natural Resources	137.14	"149,308,000.00"	"20,476,099,120.00"
PBI	Pitney Bowes Inc	20.65	"201,919,000.00"	"4,169,627,350.00"
PCL	Plum Creek Timber Co	40.74	"174,729,000.00"	"7,118,459,460.00"
PX	Praxair Inc	111.09	"286,472,000.00"	"31,824,174,480.00"
PCP	Precision Castparts Corp	230.81	"137,498,000.00"	"31,735,913,380.00"
PFG	Principal Financial Group	50.16	"294,745,000.00"	"14,784,409,200.00"
PLD	ProLogis Inc	42.73	"524,127,000.00"	"22,395,946,710.00"
PG	Procter & Gamble	76.38	"2,712,562,000.00"	"207,185,485,560.00"
PGR	Progressive Corp	33.13	"585,932,000.00"	"19,411,927,160.00"
PRU	Prudential Financial Inc	82.5	"451,000,000.00"	"37,207,500,000.00"
PEG	Public Service Enterprise Grp	41.29	"505,863,000.00"	"20,887,083,270.00"
PSA	Public Storage	229.46	"172,967,000.00"	"39,689,007,820.00"
PHM	Pulte Group Inc	18.33	"352,790,000.00"	"6,466,640,700.00"
QCOM	QUALCOMM Inc	59.42	"1,571,202,000.00"	"93,360,822,840.00"
QRVO	"Qorvo, Inc"	43.93	"149,531,000.00"	"6,568,896,830.00"
PWR	Quanta Services Inc	20.11	"204,158,000.00"	"4,105,617,380.00"
DGX	Quest Diagnostics	67.95	"143,553,000.00"	"9,754,426,350.00"
RL	Ralph Lauren Corp	110.77	"59,767,000.00"	"6,620,390,590.00"
RRC	Range Resources Corp	30.44	"169,362,000.00"	"5,155,379,280.00"
RTN	Raytheon Co	117.4	"303,548,000.00"	"35,636,535,200.00"
O	Realty Income Corp	49.46	"249,586,000.00"	"12,344,523,560.00"
RHT	Red Hat Inc	79.11	"183,483,000.00"	"14,515,340,130.00"
REGN	Regeneron Pharmaceuticals Inc	557.39	"101,737,000.00"	"56,707,186,430.00"
RF	Regions Financial Corp	9.35	"1,324,907,000.00"	"12,387,880,450.00"
RSG	Republic Services Inc	43.74	"348,917,000.00"	"15,261,629,580.00"
RAI	Reynolds American Inc	48.32	"1,429,102,000.00"	"69,054,208,640.00"
RHI	Robert Half Intl Inc	52.66	"134,500,000.00"	"7,082,770,000.00"
ROK	Rockwell Automation Inc	109.16	"134,106,000.00"	"14,639,010,960.00"
COL	Rockwell Collins	86.72	"131,770,000.00"	"11,427,094,400.00"
ROP	"Roper Technologies, Inc"	186.35	"100,666,000.00"	"18,759,109,100.00"
ROST	Ross Stores Inc	50.58	"413,790,000.00"	"20,929,498,200.00"
RCL	Royal Caribbean Cruises Ltd	98.35	"219,944,000.00"	"21,631,492,400.00"
R	Ryder System Inc	71.78	"53,374,000.00"	"3,831,185,720.00"
SCG	SCANA Corp	59.22	"142,917,000.00"	"8,463,544,740.00"
SLG	SL Green Realty Corp	118.62	"99,614,000.00"	"11,816,212,680.00"
CRM	Salesforce.com	77.71	"660,000,000.00"	"51,288,600,000.00"
SNDK	SanDisk Corp	77	"204,439,000.00"	"15,741,803,000.00"
HSIC	Schein Henry Inc	151.71	"83,397,000.00"	"12,652,158,870.00"
SLB	Schlumberger Ltd	78.16	"1,265,449,000.00"	"98,907,493,840.00"
SCHW	Schwab Charles Corp	30.52	"1,315,624,000.00"	"40,152,844,480.00"
SNI	Scripps Networks Interactive	60.08	"94,201,000.00"	"5,659,596,080.00"
STX	Seagate Technology	38.06	"302,034,000.00"	"11,495,414,040.00"
SEE	Sealed Air Corp	49.12	"205,842,000.00"	"10,110,959,040.00"
SRE	Sempra Energy	102.41	"247,916,000.00"	"25,389,077,560.00"
SHW	Sherwin-Williams Co	266.83	"93,211,000.00"	"24,871,491,130.00"
SIAL	Sigma-Aldrich Corp	139.72	"119,428,000.00"	"16,686,480,160.00"
SIG	Signet Jewelers Ltd	150.94	"79,592,000.00"	"12,013,616,480.00"
SPG	Simon Property Group	201.46	"309,410,000.00"	"62,333,738,600.00"
SWKS	Skyworks Solutions Inc	77.24	"190,738,000.00"	"14,732,603,120.00"
SJM	Smucker J.M. Co	117.39	"119,665,000.00"	"14,047,474,350.00"
SNA	Snap On Inc	165.89	"58,172,000.00"	"9,650,153,080.00"
SO	Southern Co	45.1	"908,425,000.00"	"40,969,967,500.00"
LUV	Southwest Airlines Co	46.29	"659,356,000.00"	"30,521,589,240.00"
SWN	Southwestern Energy Co	11.04	"384,442,000.00"	"4,244,239,680.00"
SE	Spectra Energy Corp	28.57	"671,363,000.00"	"19,180,840,910.00"
STJ	St Jude Medical Inc	63.81	"281,745,000.00"	"17,978,148,450.00"
SWK	Stanley Black & Decker	105.98	"153,239,000.00"	"16,240,269,220.00"
SPLS	Staples Inc	12.99	"643,566,000.00"	"8,359,922,340.00"
SBUX	Starbucks Corp	62.57	"1,484,200,000.00"	"92,866,394,000.00"
HOT	Starwood Hotel & Resort World	79.87	"170,379,000.00"	"13,608,170,730.00"
STT	State Street Corp	69	"408,113,000.00"	"28,159,797,000.00"
SRCL	Stericycle Inc	121.37	"84,833,000.00"	"10,296,181,210.00"
SYK	Stryker Corp	95.62	"376,558,000.00"	"36,006,475,960.00"
STI	SunTrust Banks Inc (GA)	41.52	"518,045,000.00"	"21,509,228,400.00"
SYMC	Symantec Corp	20.6	"684,173,000.00"	"14,093,963,800.00"
SYY	Sysco Corp	41.25	"594,918,000.00"	"24,540,367,500.00"
TROW	T Rowe Price Group Inc	75.62	"256,213,000.00"	"19,374,827,060.00"
TEL	TE Connectivity Ltd.	64.44	"402,384,000.00"	"25,929,624,960.00"
TE	TECO Energy Inc	27	"235,216,000.00"	"6,350,832,000.00"
TGNA	TEGNA Inc	27.04	"226,472,000.00"	"6,123,802,880.00"
TJX	TJX Cos Inc	73.19	"674,371,000.00"	"49,357,213,490.00"
TGT	Target Corp	77.18	"628,430,000.00"	"48,502,227,400.00"
THC	Tenet Healthcare	31.37	"99,564,000.00"	"3,123,322,680.00"
TDC	Teradata Corp	28.11	"141,600,000.00"	"3,980,376,000.00"
TSO	Tesoro Corp	106.93	"123,097,000.00"	"13,162,762,210.00"
TXN	Texas Instruments Inc	56.72	"1,026,386,000.00"	"58,216,613,920.00"
TXT	Textron Inc	42.17	"276,422,000.00"	"11,656,715,740.00"
ADT	The ADT Corp.	33.04	"169,933,000.00"	"5,614,586,320.00"
BK	The Bank of New York Mellon Corp	41.65	"1,106,518,000.00"	"46,086,474,700.00"
KHC	The Kraft Heinz Company	77.97	"1,212,833,000.00"	"94,564,589,010.00"
PCLN	The Priceline Group Inc	"1,454.24"	"50,702,000.00"	"73,732,876,480.00"
WMB	The Williams Companies Inc	39.44	"749,711,000.00"	"29,568,601,840.00"
TMO	Thermo Fisher Scientific	130.78	"398,488,000.00"	"52,114,260,640.00"
TIF	Tiffany & Co	82.44	"128,947,000.00"	"10,630,390,680.00"
TWC	Time Warner Cable Inc	189.4	"282,974,000.00"	"53,595,275,600.00"
TWX	Time Warner Inc	75.34	"815,581,000.00"	"61,445,872,540.00"
TMK	Torchmark Corp	58.01	"125,115,000.00"	"7,257,921,150.00"
TSS	Total System Services Inc	52.45	"183,950,000.00"	"9,648,177,500.00"
TSCO	Tractor Supply Co	92.39	"135,819,000.00"	"12,548,317,410.00"
RIG	Transocean Ltd	15.83	"363,554,000.00"	"5,755,059,820.00"
TRV	Travelers Cos Inc	112.89	"311,206,000.00"	"35,132,045,340.00"
TRIP	TripAdvisor Inc.	83.78	"131,296,000.00"	"10,999,978,880.00"
FOXA	Twenty-First Century Fox Inc A	30.69	"1,220,940,000.00"	"37,470,648,600.00"
FOX	Twenty-First Century Fox Inc B	30.88	"798,521,000.00"	"24,658,328,480.00"
TYC	Tyco Intl	36.44	"421,516,000.00"	"15,360,043,040.00"
TSN	Tyson Foods Inc A	44.36	"304,359,000.00"	"13,501,365,240.00"
USB	US Bancorp	42.18	"1,761,004,000.00"	"74,279,148,720.00"
UA	Under Armour Inc A	95.08	"179,962,000.00"	"17,110,786,960.00"
UNP	Union Pacific Corp	89.35	"867,692,000.00"	"77,528,280,200.00"
UAL	United Continental Holding Inc	60.31	"377,762,000.00"	"22,782,826,220.00"
UPS	United Parcel Service Inc B	103.02	"698,448,000.00"	"71,954,112,960.00"
URI	United Rentals Inc	74.86	"95,370,000.00"	"7,139,398,200.00"
UTX	United Technologies Corp	98.41	"890,598,000.00"	"87,643,749,180.00"
UNH	Unitedhealth Group Inc	117.78	"953,563,000.00"	"112,310,650,140.00"
UHS	Universal Health Services B	122.09	"91,736,000.00"	"11,200,048,240.00"
UNM	Unum Group	34.65	"246,681,000.00"	"8,547,496,650.00"
URBN	Urban Outfitters	28.6	"128,131,000.00"	"3,664,546,600.00"
VFC	VF Corp	67.52	"425,642,000.00"	"28,739,347,840.00"
VLO	Valero Energy Corp	65.92	"497,112,000.00"	"32,769,623,040.00"
VAR	Varian Medical Systems Inc	78.53	"98,717,000.00"	"7,752,246,010.00"
VTR	Ventas Inc	53.72	"332,502,000.00"	"17,862,007,440.00"
VRSN	VeriSign Inc	80.6	"113,493,000.00"	"9,147,535,800.00"
VRSK	Verisk Analytics Inc	71.61	"168,487,000.00"	"12,065,354,070.00"
VZ	Verizon Communications Inc	46.88	"4,065,691,000.00"	"190,599,594,080.00"
VRTX	Vertex Pharmaceuticals Inc	124.74	"244,656,000.00"	"30,518,389,440.00"
VIAB	Viacom Inc B	49.31	"347,460,000.00"	"17,133,252,600.00"
V	Visa Inc	77.58	"1,951,387,000.00"	"151,388,603,460.00"
VNO	Vornado Realty Trust	100.55	"188,497,000.00"	"18,953,373,350.00"
VMC	Vulcan Materials Co	96.58	"133,186,000.00"	"12,863,103,880.00"
WEC	WEC Energy Group Inc	51.56	"315,684,000.00"	"16,276,667,040.00"
WMT	Wal-Mart Stores	57.24	"3,220,549,000.00"	"184,344,224,760.00"
WBA	Walgreens Boots Alliance Inc	84.68	"1,092,283,000.00"	"92,494,524,440.00"
DIS	Walt Disney Co	113.74	"1,687,858,000.00"	"191,976,968,920.00"
WM	Waste Management Inc	53.76	"452,250,000.00"	"24,312,960,000.00"
WAT	Waters Corp	127.8	"82,270,000.00"	"10,514,106,000.00"
WFC	Wells Fargo & Co	54.14	"5,133,359,000.00"	"277,920,056,260.00"
HCN	Welltower Inc	64.87	"351,885,000.00"	"22,826,779,950.00"
WRK	WestRock Co	53.76	"261,848,000.00"	"14,076,948,480.00"
WDC	Western Digital Corp	66.82	"230,403,000.00"	"15,395,528,460.00"
WU	Western Union Co	19.25	"511,432,000.00"	"9,845,066,000.00"
WY	Weyerhaeuser Co	29.33	"514,194,000.00"	"15,081,310,020.00"
WHR	Whirlpool Corp	160.14	"78,418,000.00"	"12,557,858,520.00"
WFM	Whole Foods Market Inc	29.96	"357,858,000.00"	"10,721,425,680.00"
WYN	Wyndham Worldwide Corp	81.35	"118,111,000.00"	"9,608,329,850.00"
WYNN	Wynn Resorts Ltd	69.95	"101,537,000.00"	"7,102,513,150.00"
XL	XL Group Plc	38.08	"302,314,000.00"	"11,512,117,120.00"
XEL	Xcel Energy Inc	35.63	"507,211,000.00"	"18,071,927,930.00"
XRX	Xerox Corp	9.39	"1,068,795,000.00"	"10,035,985,050.00"
XLNX	Xilinx Inc	47.62	"258,658,000.00"	"12,317,293,960.00"
XYL	Xylem Inc	36.41	"181,499,000.00"	"6,608,378,590.00"
YHOO	Yahoo Inc	35.62	"941,391,000.00"	"33,532,347,420.00"
YUM	Yum! Brands Inc	70.91	"431,206,000.00"	"30,576,817,460.00"
ZBH	Zimmer Biomet Holdings Inc	104.57	"203,365,000.00"	"21,265,878,050.00"
ZION	Zions Bancorp (UT)	28.77	"204,170,000.00"	"5,873,970,900.00"
ZTS	Zoetis Inc	43.01	"498,944,000.00"	"21,459,581,440.00"
EBAY	eBay Inc.	27.9	"1,218,228,000.00"	"33,988,561,200.00"
