20MICRONS 	20 MICRONS LTD                                    	NSE       
IFBIND    	IFB INDUSTRIES LTD                                	NSE       
IFCI      	IFCI LTD                                          	NSE       
IFGLREFRAC	IFGL REFRACTORIES LTD                             	NSE       
IGARASHI  	IGARASHI MOTORS INDIA LTD                         	NSE       
IGL       	INDRAPRASTHA GAS LTD                              	NSE       
IGPL      	I G PETROCHEMICALS LTD                            	NSE       
IITL      	INDUSTRIAL INV TRUST LTD                          	NSE       
IL&FSENGG 	IL&FS ENG AND CONS CO LTD                         	NSE       
IL&FSTRANS	IL&FS TRANS NET LTD                               	NSE       
IMFA      	INDIAN METALS & FERRO                             	NSE       
IMPAL     	IND MOTOR PART & ACC LTD                          	NSE       
IMPEXFERRO	IMPEX FERRO TECH LIMITED                          	NSE       
INDBANK   	INDBANK MERCH BANK                                	NSE       
INDHOTEL  	THE INDIAN HOTELS CO. LTD                         	NSE       
INDIACEM  	THE INDIA CEMENTS LIMITED                         	NSE       
INDIAGLYCO	INDIA GLYCOLS LTD                                 	NSE       
INDIANB   	INDIAN BANK                                       	NSE       
INDIANCARD	INDIAN CARD CLOTHING CO.                          	NSE       
INDIANHUME	INDIAN HUME PIPE CO. LTD.                         	NSE       
INDIAVIX  	INDIA VIX                                         	NSE       
INDLMETER 	IMP POWERS LTD                                    	NSE       
INDNIPPON 	INDIA NIPPON ELECT  LTD                           	NSE       
INDOCO    	INDOCO REMEDIES LTD.                              	NSE       
INDORAMA  	INDO RAMA SYNTHETICS LTD                          	NSE       
INDOSOLAR 	INDOSOLAR LIMITED                                 	NSE       
INDOTECH  	INDO TECH TRANSFORM LTD.                          	NSE       
INDRAMEDCO	INDRAPRASTHA MEDICAL CORP                         	NSE       
INDSWFTLAB	IND SWIFT LABORATORIES LT                         	NSE       
INDSWFTLTD	IND-SWIFT LIMITED                                 	NSE       
INDTERRAIN	IND TERRAIN FASHIONS LTD                          	NSE       
INDUSINDBK	INDUSIND BANK LIMITED                             	NSE       
INFINITE  	INFINITE COMPUTER SOL LTD                         	NSE       
INFOMEDIA 	INFOMEDIA 18 LIMITED                              	NSE       
INFRABEES 	INFRA BENCHMARK ETS                               	NSE       
INFY      	INFOSYS LIMITED                                   	NSE       
INGERRAND 	INGERSOLL-RAND INDIA LTD                          	NSE       
INOXLEISUR	INOX LEISURE LIMITED                              	NSE       
INSECTICID	INSECTICIDES (I) LTD                              	NSE       
IOB       	INDIAN OVERSEAS BANK                              	NSE       
IOC       	INDIAN OIL CORP LTD                               	NSE       
IOLCP     	IOL CHEM AND PHARMA LTD                           	NSE       
IPCALAB   	IPCA LABORATORIES LTD                             	NSE       
IRB       	IRB INFRA DEV LTD.                                	NSE       
ISFT      	INTRASOFT TECH. LTD                               	NSE       
ISMTLTD   	ISMT LIMITED                                      	NSE       
ITC       	ITC LTD                                           	NSE       
ITDCEM    	ITD CEMENTATION INDIA LTD                         	NSE       
ITI       	ITI LTD                                           	NSE       
IVC       	IL&FS INVESTMENT MANAGERS                         	NSE       
IVP       	IVP LTD                                           	NSE       
IVRCLINFRA	IVRCL LIMITED                                     	NSE       
J&KBANK   	J & K BANK LTD.                                   	NSE       
JAGRAN    	JAGRAN PRAKASHAN LIMITED                          	NSE       
JAGSNPHARM	JAGSONPAL PHARMACEUTICALS                         	NSE       
JAIBALAJI 	JAI BALAJI INDUSTRIES LTD                         	NSE       
JAICORPLTD	JAI CORP LIMITED                                  	NSE       
JAMNAAUTO 	JAMNA AUTO IND LTD                                	NSE       
JAYAGROGN 	JAYANT AGRO ORGANICS LTD                          	NSE       
JAYBARMARU	JAY BHARAT MARUTI LTD                             	NSE       
JAYNECOIND	JAYASWAL NECO INDUSTR LTD                         	NSE       
JAYSREETEA	JAYSHREE TEA & INDUSTRIES                         	NSE       
JBCHEPHARM	J B CHEMICALS AND PHARMA                          	NSE       
JBFIND    	JBF INDUSTRIES LTD                                	NSE       
JENSONICOL	JENSON & NICHOLSON (IND)                          	NSE       
JETAIRWAYS	JET AIRWAYS (INDIA) LTD.                          	NSE       
JHS       	JHS SVEND. LAB. LTD                               	NSE       
JIKIND    	JIK INDUSTRIES LTD                                	NSE       
JINDALPHOT	JINDAL PHOTO LIMITED                              	NSE       
JINDALPOLY	JINDAL POLY FILMS LIMITED                         	NSE       
JINDALSAW 	JINDAL SAW LIMITED                                	NSE       
JINDALSTEL	JINDAL STEEL & POWER LTD                          	NSE       
JINDCOT   	JINDAL COTEX LTD                                  	NSE       
JINDRILL  	JINDAL DRILLING IND. LTD                          	NSE       
JINDWORLD 	JINDAL WORLDWIDE LTD                              	NSE       
JISLJALEQS	JAIN IRRIGATION SYSTEMS                           	NSE       
JKCEMENT  	JK CEMENT LIMITED                                 	NSE       
JKIL      	JKUMAR INFR.LTD.                                  	NSE       
JKLAKSHMI 	JK LAKSHMI CEMENT LTD                             	NSE       
JKPAPER   	JK PAPER LIMITED                                  	NSE       
JKTYRE    	JK TYRE & INDUSTRIES LTD                          	NSE       
JMCPROJECT	JMC PROJECTS (I) LTD.                             	NSE       
JMFINANCIL	JM FINANCIAL LIMITED                              	NSE       
JMTAUTOLTD	JMT AUTO LIMITED                                  	NSE       
JOCIL     	JOCIL LIMITED                                     	NSE       
JPASSOCIAT	JAIPRAKASH ASSOCIATES LTD                         	NSE       
JPINFRATEC	JAYPEE INFRATECH LTD                              	NSE       
JPPOWER   	JAIPRAKASH POWER VEN. LTD                         	NSE       
JSL       	JSL STAINLESS LIMITED                             	NSE       
JSWENERGY 	JSW ENERGY LIMITED                                	NSE       
JSWSTEEL  	JSW STEEL LIMITED                                 	NSE       
JUBILANT  	JUBILANT LIFE SCIENCE LTD                         	NSE       
JUBLFOOD  	JUBILANT FOODWORKS LTD                            	NSE       
JUBLINDS  	JUBILANT INDUSTRIES LTD                           	NSE       
JUNIORBEES	NIFTY JR BENCHMARK ETF                            	NSE       
JYOTHYLAB 	JYOTHY LABS LTD                                   	NSE       
JYOTISTRUC	JYOTI STRUCTURES LTD                              	NSE       
KABRAEXTRU	KABRA EXTRUSION TECHNIK L                         	NSE       
KAJARIACER	KAJARIA CERAMICS LTD                              	NSE       
KAKATCEM  	KAKATIYA CEM SUGAR &IND L                         	NSE       
KALINDEE  	KALINDEE RAIL NR. (E) LTD                         	NSE       
KALPATPOWR	KALPATARU POWER TRANS. LT                         	NSE       
KAMATHOTEL	KAMAT HOTELS (I) LTD                              	NSE       
KANORICHEM	KANORIA CHEMICALS & INDUS                         	NSE       
KANSAINER 	KANSAI NEROLAC PAINTS LTD                         	NSE       
KARMAENG  	KARMA ENERGY LIMITED                              	NSE       
KARURVYSYA	KARUR VYSYA BANK LTD                              	NSE       
KAUSHALYA 	KAUSHALYA INFRA DEV LTD.                          	NSE       
KAVVERITEL	KAVVERI TEL. LTD.                                 	NSE       
KCP       	KCP LTD                                           	NSE       
KCPSUGIND 	KCP SUGAR IND CORP LTD.                           	NSE       
KEC       	KEC INTL. LIMITED                                 	NSE       
KECL      	KIRLOSKAR ELECTRIC CO LTD                         	NSE       
KEI       	KEI INDUSTRIES LTD.                               	NSE       
KESARENT  	KESAR ENTERPRISES LTD.                            	NSE       
KESORAMIND	KESORAM INDUSTRIES LTD                            	NSE       
KGL       	KARUTURI GLOBAL LIMITED                           	NSE       
KHAITANELE	KHAITAN ELECTRICALS LTD                           	NSE       
KHAITANLTD	KHAITAN (INDIA)LTD.                               	NSE       
KHANDSE   	KHANDWALA SECURITIES LTD                          	NSE       
KICL      	KALYANI INVEST CO LTD                             	NSE       
KILITCH   	KILITCH DRUGS INDIA LTD                           	NSE       
KIRIINDUS 	KIRI INDUSTRIES LIMITED                           	NSE       
KIRLOSBROS	KIRLOSKAR BROTHERS LTD                            	NSE       
KIRLOSENG 	KIRLOSKAR OIL ENG LTD                             	NSE       
KIRLOSIND 	KIRLOSKAR INDUSTRIES LTD                          	NSE       
KKCL      	KEWAL KIRAN CLOTHING LTD                          	NSE       
KMSUGAR   	K M SUGAR MILLS LTD                               	NSE       
KNRCON    	KNR CONSTRU LTD.                                  	NSE       
KOHINOOR  	KOHINOOR FOODS LIMITED                            	NSE       
KOLTEPATIL	KOLTE PATIL DEV. LTD.                             	NSE       
KOPRAN    	KOPRAN LTD                                        	NSE       
KOTAKBANK 	KOTAK MAHINDRA BANK LTD                           	NSE       
KOTAKGOLD 	KOTAK GOLD ETF                                    	NSE       
KOTAKNIFTY	KOTAK NIFTY ETF                                   	NSE       
KOTAKPSUBK	KOTAK PSU BANK                                    	NSE       
KOTARISUG 	KOTHARI SUG & CHEM LTD.                           	NSE       
KOTHARIPET	KOTHARI PETROCHEM LTD                             	NSE       
KOTHARIPRO	KOTHARI PRODUCTS LTD                              	NSE       
KPIT      	KPIT CUMMINS INFOSYSTEMS                          	NSE       
KPRMILL   	KPR MILL LTD.                                     	NSE       
KRBL      	KRBL LIMITED                                      	NSE       
KSBPUMPS  	KSB PUMPS LTD                                     	NSE       
KSCL      	KAVERI SEED CO. LTD.                              	NSE       
KSERASERA 	K SERA SERA LIMITED                               	NSE       
KSK       	KSK ENERGY VENTURES LTD                           	NSE       
KSL       	KALYANI STEELS LIMITED                            	NSE       
KTIL      	KESAR TER & INFRA LTD                             	NSE       
KTKBANK   	KARNATAKA BANK LIMITED                            	NSE       
KWALITY   	KWALITY DAIRY (INDIA)                             	NSE       
LAKPRE    	LAKSHMI PRE SCRE LTD                              	NSE       
LAKSHMIEFL	LAKSHMI ENG. & FOODS LTD                          	NSE       
LAKSHVILAS	LAKSHMI VILAS BANK LTD                            	NSE       
LAOPALA   	LA OPALA RG LIMITED                               	NSE       
LAXMIMACH 	LAKSHMI MACHINES LTD                              	NSE       
LCCINFOTEC	LCC INFOTECH LTD                                  	NSE       
LGBBROSLTD	LG BALAKRISHNAN & BROS                            	NSE       
LGBFORGE  	LGB FORGE LIMITED                                 	NSE       
LIBERTSHOE	LIBERTY SHOES LTD                                 	NSE       
LICHSGFIN 	LIC HOUSING FINANCE LTD                           	NSE       
LIQUIDBEES	LIQUID BENCHMARK ETS                              	NSE       
LITL      	LANCO INFRATECH LTD.                              	NSE       
LLOYDELENG	LLOYD ELECTRIC & ENGG LTD                         	NSE       
LML       	LML LTD                                           	NSE       
LOKESHMACH	LOKESH MACHINES LTD                               	NSE       
LOTUSEYE  	LOTUS EYE HOSPITAL LTD.                           	NSE       
LOVABLE   	LOVABLE LINGERIE LTD                              	NSE       
LPDC      	LANDMARK PR.DEV.CO.LTD                            	NSE       
LT        	LARSEN & TOUBRO LTD.                              	NSE       
LUMAXIND  	LUMAX INDUSTRIES LTD                              	NSE       
LUMAXTECH 	LUMAX AUTO TECH LTD                               	NSE       
LUPIN     	LUPIN LIMITED                                     	NSE       
LYKALABS  	LYKA LABS LTD                                     	NSE       
M&M       	MAHINDRA & MAHINDRA LTD                           	NSE       
M&MFIN    	M&M FIN. SERVICES LTD                             	NSE       
M100      	MOST SHARES M100 ETF                              	NSE       
M50       	MOST SHARES M50 ETF                               	NSE       
MADHAV    	MADHAV MARBLE & GRANITE                           	NSE       
MADHUCON  	MADHUCON PROJECTS LTD.                            	NSE       
MADRASFERT	MADRAS FERTILISERS LTD                            	NSE       
MAGMA     	MAGMA FINCORP LIMITED                             	NSE       
MAGNUM    	MAGNUM VENTURES LTD.                              	NSE       
MAHABANK  	BANK OF MAHARASHTRA                               	NSE       
MAHLIFE   	MAHINDRA LIFESPACE DEVLTD                         	NSE       
MAHSCOOTER	MAHARASHTRA SCOOTERS LTD                          	NSE       
MAHSEAMLES	MAHARASHTRA SEAMLESS LTD                          	NSE       
MAITHANALL	MAITHAN ALLOYS LTD                                	NSE       
MALUPAPER 	MALU PAPER MILLS LIMITED                          	NSE       
MANAKSIA  	MANAKSIA LTD.                                     	NSE       
MANALIPETC	MANALI PETRO. LIMITED                             	NSE       
MANAPPURAM	MANAPPURAM GEN FIN                                	NSE       
MANDHANA  	MANDHANA INDUS. LTD                               	NSE       
MANGALAM  	MANGALAM DRUG & CHEM LTD                          	NSE       
MANGCHEFER	MANG.CHEM.FERT.LTD                                	NSE       
MANGLMCEM 	MANGALAM CEMENT LTD                               	NSE       
MANGTIMBER	MANGALAM TIMBER PRODUCTS                          	NSE       
MANINDS   	MAN INDUSTRIES (I) LTD.                           	NSE       
MANINFRA  	MAN INFRA LTD                                     	NSE       
MANUGRAPH 	MANUGRAPH INDIA LIMITED                           	NSE       
MARALOVER 	MARAL OVERSEAS LTD                                	NSE       
MARICO    	MARICO LIMITED                                    	NSE       
MARKSANS  	MARKSANS PHARMA LIMITED                           	NSE       
MARUTI    	MARUTI SUZUKI INDIA LTD.                          	NSE       
MASTEK    	MASTEK LTD                                        	NSE       
MAWANASUG 	MAWANA SUGARS LIMITED                             	NSE       
MAXWELL   	MAXWELL INDUSTRIES LTD                            	NSE       
MBECL     	MCNALLY BH. ENG. CO.LTD                           	NSE       
MBLINFRA  	MBL INFRASTRUCTURES LTD                           	NSE       
MCDHOLDING	MCDOWELL HOLDINGS LTD.                            	NSE       
MCDOWELL-N	UNITED SPIRITS LIMITED                            	NSE       
MCLEODRUSS	MCLEOD RUSSEL INDIA LTD.                          	NSE       
MEGASOFT  	MEGASOFT LTD                                      	NSE       
MEGH      	MEGHMANI ORGANICS LTD.                            	NSE       
MELSTAR   	MELSTAR INFORMATION TECH                          	NSE       
MERCK     	MERCK LIMITED                                     	NSE       
MHRIL     	MAHINDRA HOLIDAYS LTD                             	NSE       
MIC       	MIC ELECTRONICS LIMITED                           	NSE       
MICROSEC  	MICROSEC FIN SERV LTD                             	NSE       
MINDAIND  	MINDA INDUSTRIES LTD.                             	NSE       
MINDTREE  	MINDTREE LIMITED                                  	NSE       
MIRCELECTR	MIRC ELECTRONICS LTD                              	NSE       
MIRZAINT  	MIRZA INTERNATIONAL LIMIT                         	NSE       
MMFL      	MM FORGINGS LTD                                   	NSE       
MMTC      	MMTC LIMITED                                      	NSE       
MOIL      	MOIL LIMITED                                      	NSE       
MONNETISPA	MONNET ISPAT LTD                                  	NSE       
MONSANTO  	MONSANTO INDIA LIMITED                            	NSE       
MOREPENLAB	MOREPEN LAB. LTD                                  	NSE       
MOSERBAER 	MOSER-BAER (I) LTD                                	NSE       
MOTHERSUMI	MOTHERSON SUMI SYSTEMS LT                         	NSE       
MOTILALOFS	MOTILAL OSWAL FIN LTD                             	NSE       
MPHASIS   	MPHASIS LIMITED                                   	NSE       
MPSLTD    	MPS LIMITED                                       	NSE       
MRF       	MRF LTD                                           	NSE       
MRO-TEK   	MRO-TEK LIMITED                                   	NSE       
MRPL      	MRPL                                              	NSE       
MSPL      	MSP STEEL & POWER LTD.                            	NSE       
MTNL      	MAHANAGAR TELEPHONE NIGAM                         	NSE       
MUKANDENGG	MUKAND ENGINEERS LIMITED                          	NSE       
MUKANDLTD 	MUKAND LTD.                                       	NSE       
MUKTAARTS 	MUKTA ARTS LIMITED                                	NSE       
MUNJALAU  	MUNJAL AUTO IND. LTD.                             	NSE       
MUNJALSHOW	MUNJAL SHOWA LTD                                  	NSE       
MURUDCERA 	MURUDESHWAR CERAMICS LTD                          	NSE       
MUTHOOTFIN	MUTHOOT FINANCE LIMITED                           	NSE       
MVL       	MVL LIMITED                                       	NSE       
MYSOREBANK	STATE BANK OF MYSORE                              	NSE       
N100      	MOST SHARES N100 ETF                              	NSE       
NAGREEKCAP	NAGREEKA CAP & INFR.LTD                           	NSE       
NAGREEKEXP	NAGREEKA EXPORTS LTD.                             	NSE       
NAHARCAP  	NAHAR CAP & FIN.                                  	NSE       
NAHARINDUS	NAHAR INDS ENT LTD                                	NSE       
NAHARPOLY 	NAHAR POLY FILMS LIMITED                          	NSE       
NAHARSPING	NAHAR SPINNING MILLS LTD.                         	NSE       
NATCOPHARM	NATCO PHARMA LTD.                                 	NSE       
NATIONALUM	NATIONAL ALUMINIUM CO LTD                         	NSE       
NAUKRI    	INFO EDGE (I) LTD                                 	NSE       
NAVINFLUOR	NAVIN FLUORINE INT. LTD                           	NSE       
NBVENTURES	NAVA BHARAT VENTURES LIMI                         	NSE       
NCC       	NCC LIMITED                                       	NSE       
NCLIND    	NCL INDUSTRIES LIMITED                            	NSE       
NDTV      	NDTV LTD                                          	NSE       
NECLIFE   	NECTAR LIFESCIENCES LTD.                          	NSE       
NELCAST   	NELCAST LIMITED                                   	NSE       
NELCO     	NELCO LTD                                         	NSE       
NESCO     	NESCO LTD.                                        	NSE       
NESTLEIND 	NESTLE INDIA LIMITED                              	NSE       
NET4      	NET 4 INDIA LIMITED                               	NSE       
NETWORK18 	NON-CONV CUM RED PREF SH                          	NSE       
NEULANDLAB	NEULAND LAB LTD.                                  	NSE       
NEXTMEDIA 	NEXT MEDIAWORKS LIMITED                           	NSE       
NFL       	NATIONAL FERT. LTD                                	NSE       
NHPC      	NHPC LTD                                          	NSE       
NIFTYBEES 	NIFTY BMARK EXCH. TRD FND                         	NSE       
NIITLTD   	NIIT LIMITED                                      	NSE       
NIITTECH  	NIIT TECHNOLOGIES LTD                             	NSE       
NILKAMAL  	NILKAMAL LIMITED                                  	NSE       
NIPPOBATRY	NIPPO BATTERIES CO. LIMIT                         	NSE       
NITCO     	NITCO LIMITED                                     	NSE       
NITESHEST 	NITESH ESTATES LTD                                	NSE       
NITINFIRE 	NITIN FIRE PROT IND. LTD.                         	NSE       
NITINSPIN 	NITIN SPINNERS LIMITED                            	NSE       
NMDC      	NMDC LTD.                                         	NSE       
NOCIL     	NOCIL LIMITED                                     	NSE       
NOIDATOLL 	NOIDA TOLL BRIDGE CO LTD                          	NSE       
NORBTEAEXP	NORBEN TEA & EXPORTS LTD                          	NSE       
NRBBEARING	NRB BEARING LIMITED                               	NSE       
NSIL      	NALWA SONS INVESTMENT LTD                         	NSE       
NTPC      	NTPC LTD                                          	NSE       
NUCLEUS   	NUCLEUS SOFTWARE EXPORTS                          	NSE       
NUTEK     	NU TEK INDIA LTD                                  	NSE       
OBEROIRLTY	OBEROI REALTY LIMITED                             	NSE       
OCL       	OCL INDIA LTD                                     	NSE       
OFSS      	ORACLE FIN SERV SOFT LTD.                         	NSE       
OIL       	OIL INDIA LTD                                     	NSE       
OILCOUNTUB	OIL COUNTRY TUBULAR LTD                           	NSE       
OISL      	OCL IRON AND STEEL LTD                            	NSE       
OMAXAUTO  	OMAX AUTOS LTD                                    	NSE       
OMAXE     	OMAXE LIMITED                                     	NSE       
OMKARCHEM 	OMKAR SPL CHEM LTD                                	NSE       
OMMETALS  	OM METALS INFRAPRO LTD                            	NSE       
OMNITECH  	OMNITECH INFOSOLU LTD.                            	NSE       
ONGC      	OIL AND NATURAL GAS CORP.                         	NSE       
ONMOBILE  	ONMOBILE GLOBAL LTD.                              	NSE       
ONWARDTEC 	ONWARD TECHNOLOGIES LTD                           	NSE       
OPTOCIRCUI	OPTO CIRCUITS (I) LTD.                            	NSE       
ORBITCORP 	ORBIT CORP. LTD.                                  	NSE       
ORIENTABRA	ORIENT ABRASIVE LTD                               	NSE       
ORIENTALTL	ORIENTAL TRIMEX LTD                               	NSE       
ORIENTBANK	ORIENTAL BANK OF COMMERCE                         	NSE       
ORIENTHOT 	ORIENT HOTELS LTD                                 	NSE       
ORIENTLTD 	ORIENT PRESS LIMITED                              	NSE       
ORIENTPPR 	ORIENT PAPER AND INDS LTD                         	NSE       
ORISSAMINE	ORISSA MIN DEV CO LTD                             	NSE       
OUDHSUG   	THE OUDH SUGAR MILLS LTD                          	NSE       
PAEL      	PAE LIMITED                                       	NSE       
PAGEIND   	PAGE INDUSTRIES LTD                               	NSE       
PANACEABIO	PANACEA BIOTEC LTD                                	NSE       
PANORAMUNI	PANORAMIC UNIVERSAL LTD                           	NSE       
PAPERPROD 	THE PAPER PRODUCTS LTD                            	NSE       
PARABDRUGS	PARABOLIC DRUGS LTD                               	NSE       
PARACABLES	PARAMOUNT COMM LTD                                	NSE       
PARRYSUGAR	PARRYS SUGAR INDUSTRIES L                         	NSE       
PARSVNATH 	PARSVNATH DEVELOPER LTD                           	NSE       
PATELENG  	PATEL ENGINEERING LTD.                            	NSE       
PATINTLOG 	PATEL INT. LOG. LTD                               	NSE       
PATSPINLTD	PATSPIN INDIA LTD                                 	NSE       
PBAINFRA  	PBA INFRASTRUCTURE LTD.                           	NSE       
PDPL      	PARENTERAL DRUGS LTD                              	NSE       
PDUMJEIND 	PUDUMJEE INDUSTRIES LTD                           	NSE       
PDUMJEPULP	PUDUMJEE PULP & PAPER MIL                         	NSE       
PEARLPOLY 	PEARL POLYMERS LTD                                	NSE       
PENIND    	PENNAR INDUSTRIES LTD                             	NSE       
PENINLAND 	PENINSULA LAND LIMITED                            	NSE       
PERSISTENT	PERSISTENT SYSTEMS LTD                            	NSE       
PETRONENGG	PETRON ENGG CONSTRUCT LTD                         	NSE       
PETRONET  	PETRONET LNG LIMITED                              	NSE       
PFC       	POWER FIN CORP LTD.                               	NSE       
PFIZER    	PFIZER LTD                                        	NSE       
PFOCUS    	PRIME FOCUS LIMITED                               	NSE       
PFS       	PTC INDIA FIN SERV LTD                            	NSE       
PGHH      	P&G HYGIENE & HEALTH CARE                         	NSE       
PHILIPCARB	PHILIPS CARBON BLACK LTD                          	NSE       
PHOENIXLTD	THE PHOENIX MILLS LTD                             	NSE       
PIDILITIND	PIDILITE INDUSTRIES LTD                           	NSE       
PIIND     	PI INDUSTRIES LTD                                 	NSE       
PIONDIST  	PIONEER DIST LTD                                  	NSE       
PIONEEREMB	PIONEER EMBROIDERIES LTD                          	NSE       
PITTILAM  	PITTI LAMINATIONS LTD                             	NSE       
PLASTIBLEN	PLASTIBLENDS INDIA LTD                            	NSE       
PNB       	PUNJAB NATIONAL BANK                              	NSE       
PNBGILTS  	PNB GILTS LIMITED                                 	NSE       
PNC       	PRITISH NANDY COMMUNICATI                         	NSE       
POCHIRAJU 	POCHIRAJU IND LTD                                 	NSE       
POLARIS   	POLARIS SOFTWARE LAB LTD                          	NSE       
POLYPLEX  	POLYPLEX CORPORATION LTD                          	NSE       
PONNIERODE	PONNIE SUGARS (ERODE) LTD                         	NSE       
POWERGRID 	POWER GRID CORP. LTD.                             	NSE       
PPAP      	PRECISION PIPES LTD.                              	NSE       
PRADIP    	PRADIP OVERSEAS LTD                               	NSE       
PRAENG    	PRAJAY ENG. SYN. LTD.                             	NSE       
PRAJIND   	PRAJ INDUSTRIES LTD                               	NSE       
PRAKASH   	PRAKASH INDUSTRIES LTD                            	NSE       
PRAKASHSTL	PRAKASH STEELAGE LTD                              	NSE       
PRATIBHA  	PRATIBHA INDS. LTD.                               	NSE       
PRECOT    	PRECOT MERIDIAN LIMITED                           	NSE       
PRECWIRE  	PRECISION WIRES INDIA LTD                         	NSE       
PREMIER   	PREMIER LIMITED                                   	NSE       
PRESTIGE  	PRESTIGE ESTATE LTD                               	NSE       
PRICOL    	PRICOL LIMITED                                    	NSE       
PRIMESECU 	PRIME SECURITIES LIMITED                          	NSE       
PRISMCEM  	PRISM CEMENTS LTD                                 	NSE       
PSB       	PUNJAB & SIND BANK                                	NSE       
PSL       	PSL LIMITED                                       	NSE       
PSUBNKBEES	PSU BANK BEES                                     	NSE       
PTC       	PTC INDIA LIMITED                                 	NSE       
PTL       	PTL ENTERPRISES LTD                               	NSE       
PUNJABCHEM	PUNJAB CHEM & CROP PROT L                         	NSE       
PUNJLLOYD 	PUNJ LLOYD LIMITED                                	NSE       
PURVA     	PURAVANKARA PROJ. LTD.                            	NSE       
PVP       	PVP VENTURES LIMITED                              	NSE       
PVR       	PVR LIMITED                                       	NSE       
QGOLDHALF 	QUANTUM GOLD FUND                                 	NSE       
QNIFTY    	QUANTUM INDEX FUND-ETF                            	NSE       
RADAAN    	RADAAN MEDIAWORKS (I) LTD                         	NSE       
RADICO    	RADICO KHAITAN LTD                                	NSE       
RAINBOWPAP	RAINBOW PAPERS LTD                                	NSE       
RAJESHEXPO	RAJESH EXPORTS LTD                                	NSE       
RAJOIL    	RAJ OIL MILLS LTD                                 	NSE       
RAJRAYON  	RAJ RAYON INDUSTRIES LTD                          	NSE       
RAJSREESUG	RAJSHREE SUGAR & CHEMICAL                         	NSE       
RAJTV     	RAJ TV NETWORK LTD                                	NSE       
RALLIS    	RALLIS INDIA LTD                                  	NSE       
RAMANEWS  	RAMA NEWSPRI & PAPER LTD                          	NSE       
RAMCOIND  	RAMCO INDUSTRIES LIMITED                          	NSE       
RAMCOSYS  	RAMCO SYSTEMS LTD.                                	NSE       
RAMKY     	RAMKY INFRA LTD                                   	NSE       
RANASUG   	RANA SUGARS LTD.                                  	NSE       
RANEENGINE	RANE ENG VALVE LTD                                	NSE       
RANEHOLDIN	RANE HOLDINGS LIMITED                             	NSE       
RATNAMANI 	RATNAMANI MET & TUB LTD.                          	NSE       
RAYMOND   	RAYMOND LTD                                       	NSE       
RBL       	RANE BRAKE LINING LTD                             	NSE       
RCF       	RASHTRIYA CHEMICALS & FER                         	NSE       
RCOM      	RELIANCE COMMUNICATIONS L                         	NSE       
RECLTD    	RURAL ELEC CORP. LTD.                             	NSE       
REDINGTON 	REDINGTON (INDIA) LTD.                            	NSE       
REFEX     	REFEX REFRIGERANTS LTD                            	NSE       
REIAGROLTD	REI AGRO LIMITED                                  	NSE       
REISIXTEN 	REI SIX TEN RETAIL LTD                            	NSE       
RELAXO    	RELAXO FOOT LTD.                                  	NSE       
RELBANK   	REL. BANKING ETF                                  	NSE       
RELCAPITAL	RELIANCE CAPITAL LTD                              	NSE       
RELGOLD   	RELIANCE GOLD ETF                                 	NSE       
RELIANCE  	RELIANCE INDUSTRIES LTD                           	NSE       
RELIGARE  	RELIGARE ENTER. LTD.                              	NSE       
RELINFRA  	RELIANCE INFRASTRUCTU LTD                         	NSE       
REMSONSIND	REMSONS INDUSTRIES LTD                            	NSE       
RENUKA    	SHREE RENUKA SUGARS LTD                           	NSE       
REPRO     	REPRO INDIA LIMITED                               	NSE       
RESPONIND 	RESPONSIVE INDUSTRIES LTD                         	NSE       
REVATHI   	REVATHI EQUIPMENT LTD                             	NSE       
RICOAUTO  	RICO AUTO INDUSTRIES LTD                          	NSE       
RIIL      	RELIANCE INDUSTRIAL INFRA                         	NSE       
RJL       	RENAISSANCE JEWEL. LTD.                           	NSE       
RKDL      	RAVI KUMAR DIST. LTD.                             	NSE       
RKFORGE   	RAMKRISHNA FORGINGS LTD                           	NSE       
RMCL      	RADHA MADHAV CO. LTD.                             	NSE       
RML       	RANE (MADRAS) LIMITED                             	NSE       
ROHITFERRO	ROHIT FERRO-TECH LIMITED                          	NSE       
ROHLTD    	ROYAL ORCHID HOTELS LTD                           	NSE       
ROLTA     	ROLTA INDIA LTD                                   	NSE       
RPGLIFE   	RPG LIFE SCIENCES LTD                             	NSE       
RPOWER    	RELIANCE POWER LTD.                               	NSE       
RPPINFRA  	R.P.P INFRA PROJECTS LTD                          	NSE       
RSSOFTWARE	R. S. SOFTWARE (INDIA) LI                         	NSE       
RSWM      	RSWM LIMITED                                      	NSE       
RSYSTEMS  	R SYS INTERNATIONAL LTD                           	NSE       
RUBYMILLS 	THE RUBY MILLS LTD                                	NSE       
RUCHIRA   	RUCHIRA PAPERS LIMITED                            	NSE       
RUCHISOYA 	RUCHI SOYA INDUSTRIES LTD                         	NSE       
RUSHIL    	RUSHIL DECOR LIMITED                              	NSE       
SABTN     	SRI ADHIKARI BROS.                                	NSE       
SADBHAV   	SADBHAV ENGINEERING LTD                           	NSE       
SAGCEM    	SAGAR CEMENTS LIMITED                             	NSE       
SAIL      	STEEL AUTHORITY OF INDIA                          	NSE       
SAKHTISUG 	SAKTHI SUGARS LTD                                 	NSE       
SAKSOFT   	SAKSOFT LIMITED                                   	NSE       
SAKUMA    	SAKUMA EXPORTS LIMITED                            	NSE       
