AAB       	Aberdeen International Inc                        	TSX       
CU        	Canadian Utilities Ltd Cl.A Nv                    	TSX       
CU.PR.C   	Canadian Utilities Limited Pref Ser C             	TSX       
CU.PR.D   	Canadian Utilities Ltd Pr Series Aa               	TSX       
CU.PR.E   	Canadian Utilities Ltd Pref Ser Bb                	TSX       
CU.PR.F   	Canadian Utilities Ltd Pref Ser CC                	TSX       
CU.PR.G   	Canadian Utilities Ltd Pref Ser Dd                	TSX       
CU.PR.H   	Canadian Utilities Ltd Pref Ser Ee                	TSX       
CU.PR.I   	Canadian Utilities Ltd Pref Ser Ff                	TSX       
CU.X      	CDN Util Cl B                                     	TSX       
CUD       	Ishares S&P US Div Growers ETF                    	TSX       
CUF.UN    	Cominar R E Un                                    	TSX       
CUP.U     	Caribbean Util US                                 	TSX       
CVD       	Ishares Convertible Bond Index ETF                	TSX       
CVE       	Cenovus Energy Inc                                	TSX       
CVG       	Clairvest Group                                   	TSX       
CWB       	CDN Western Bank                                  	TSX       
CWB.PR.B  	Canadian Western Bank Pref Ser 5                  	TSX       
CWB.PR.C  	Canadian Western Bank Pref Ser 7                  	TSX       
CWI       	Crosswinds Holdings Inc                           	TSX       
CWL       	Caldwell Partners International Inc               	TSX       
CWW       	Ishares S&P Global Water ETF                      	TSX       
CWX       	Canwel Building Materials Group Ltd               	TSX       
CWX.NT.A  	Canwel Build Materials 6.375 Pct Notes            	TSX       
CXF       	First Asset CDN Convert Bond ETF                  	TSX       
CXI       	Currency Exchange International Corp              	TSX       
CXN       	Chalice Gold Mines Limited                        	TSX       
CXR       	Concordia International Corp                      	TSX       
CXR.U     	Concordia International Corp USD                  	TSX       
CYB       	Cymbria Corporation Cl A                          	TSX       
CYBR      	Evolve Cyber Security Index Hgd ETF               	TSX       
CYBR.B    	Evolve Cyber Security Index Uh ETF                	TSX       
CYH       	Ishares Global Monthly Dividend ETF               	TSX       
D.UN      	Dream Office REIT                                 	TSX       
DBO       	Dbox Technologies Inc                             	TSX       
DC.A      	Dundee Corp Cl.A Sv                               	TSX       
DC.PR.B   	Dundee Corp First Pref Ser 2                      	TSX       
DC.PR.D   	Dundee Corp Pref Ser 3                            	TSX       
DC.PR.E   	Dundee Corp First Pref Shares Series 5            	TSX       
DC.WT     	Dundee Corp Class A Wts                           	TSX       
DCC       	Desjardins 1To5 Yr Lad CDN Corp Bd ETF            	TSX       
DCD.UN    	First Asset Diversified Conv. Deb. Fund           	TSX       
DCF       	Difference Capital Financial Inc                  	TSX       
DCG       	Desjardins 1To5 Yr Lad CDN Govt Bd ETF            	TSX       
DCM       	Data Communications Mgmt Corp                     	TSX       
DCP       	Desjardins CDN Pref Share ETF                     	TSX       
DCS       	Desjardins CDN Short Term Bd ETF                  	TSX       
DCU       	Desjardins CDN Universe Bond Index ETF            	TSX       
DEE       	Delphi Energy Corp                                	TSX       
DEE.NT    	Delphi Energy Corp 10 Pct Notes                   	TSX       
DEE.WT    	Delphi Energy Corp Wts                            	TSX       
DF        	Dividend 15 Split Corp II                         	TSX       
DF.PR.A   	Dividend 15 Split Corp II Prf                     	TSX       
DFC       	Desjardins Cda Multifactor Ctrl Vol ETF           	TSX       
DFD       	Desjardins Dev Xus Xcda Mltifact Vol ETF          	TSX       
DFE       	Desjardins EM Multifactor-Controlled Volatility   	TSX       
DFN       	Dividend 15 Split Corp                            	TSX       
DFN.PR.A  	Dividend 15 Split Corp                            	TSX       
DFU       	Desjardins USA Multifactor Ctrl Vol ETF           	TSX       
DGC       	Detour Gold Corp                                  	TSX       
DGR       	Wisdomtree US Qlty Div Gwth ETF                   	TSX       
DGR.B     	Wisdomtree US Qlty Div Gwth ETF Nh                	TSX       
DGRC      	Wisdomtree CDN Quality Div Grth Idx ETF           	TSX       
DGS       	Dividend Growth Split Corp Class A                	TSX       
DGS.PR.A  	Dividend Growth Split Corp Pref                   	TSX       
DHX       	Dhx Media Ltd                                     	TSX       
DHX.DB    	Dhx Media Ltd 5.875 Pct Debs                      	TSX       
DIAM      	Star Diamond Corp                                 	TSX       
DII.A     	Dorel Industries Inc Cl.A Mv                      	TSX       
DII.B     	Dorel Industries Inc Cl.B Sv                      	TSX       
DII.DB.U  	Dorel Industries Inc 5.50 Pct Debs USD            	TSX       
DIR.UN    	Dream Industrial REIT                             	TSX       
DISC      	BMO Glb Consumer Disc Hgd To CAD ETF              	TSX       
DIV       	Diversified Royalty Corp                          	TSX       
DIV.DB    	Diversified Royalty Corp 5.25 Pct Debs            	TSX       
DIVS      	Evolve Active CDN Pref Share ETF                  	TSX       
DLR       	Horizons US Dollar Currency ETF                   	TSX       
DLR.U     	Horizons US Dollar Currency ETF USD               	TSX       
DML       	Denison Mines Corp                                	TSX       
DNG       	Dynacor Gold Mines Inc                            	TSX       
DNT       	Candente Copper Corp                              	TSX       
DOL       	Dollarama Inc                                     	TSX       
DOO       	Brp Inc                                           	TSX       
DPM       	Dundee Precious Metals Inc                        	TSX       
DQD       	Wisdomtree US Qlty Div Gwth Var Hgd ETF           	TSX       
DQI       	Wisdomtree Intl Qlty Div Gwth Var Hgd             	TSX       
DR        	Medical Facilities Corp                           	TSX       
DR.DB.A   	Medical Facilities Corp 5.90 Pct Debs             	TSX       
DRA.UN    	Dream Hard Asset Alternatives Trust               	TSX       
DRCU      	Desjardins Ri Active Canadian Bond-Low C          	TSX       
DRFC      	Desjardins Ri Cda Multi Low Co2 ETF               	TSX       
DRG.UN    	Dream Global REIT                                 	TSX       
DRM       	Dream Unlimited Corp                              	TSX       
DRM.PR.A  	Dream Unlimited Corp Pref Ser 1                   	TSX       
DRMC      	Desjardins Ri Canada-Low Co2 Index ETF            	TSX       
DRMU      	Desjardins Ri USA Low Co2 Index ETF               	TSX       
DRT       	Dirtt Environmental Solutions Ltd                 	TSX       
DRX       	Adf Group Inc Sv                                  	TSX       
DS        	Dividend Select 15 Corp                           	TSX       
DSG       	Descartes Sys                                     	TSX       
DSL.UN    	Doubleline Income Solutions Trust Units           	TSX       
DXB       	Dynamic Ishares Act Tactical Bond ETF             	TSX       
DXC       	Dyn Ishares Active CDN Div ETF                    	TSX       
DXF       	Dynamic Ishares Act Global Fin Ser ETF            	TSX       
DXG       	Dyn Ishares Active Global Div ETF                 	TSX       
DXI       	Dxi Energy Inc                                    	TSX       
DXM       	F A Morningstar Cda Div Tgt 30 ETF                	TSX       
DXO       	Dyn Ishares Act Crossover Bond ETF                	TSX       
DXP       	Dyn Ishares Active Pref Shares ETF                	TSX       
DXU       	Dyn Ishares Active US Div ETF                     	TSX       
DXV       	Dyn Ishares Act Inv Grd Flot Rt ETF               	TSX       
DXZ       	Dynamic Ishares Acitve US Mid Cap ETF             	TSX       
E         	Enterprise Group Inc                              	TSX       
EARN      	Evolve Active Global Fixed Income ETF             	TSX       
EBC.UN    	Europe Blue Chip Div and Growth Fund              	TSX       
ECA       	Encana Corp                                       	TSX       
ECF.UN    	East Coast Invest Grade Income Fd                 	TSX       
ECN       	Ecn Capital Corp                                  	TSX       
ECN.PR.A  	Ecn Capital Corp Pref Ser A                       	TSX       
ECN.PR.C  	Ecn Capital Corp Pref Ser C                       	TSX       
ECO       	Ecosynthetix Inc                                  	TSX       
ECS       	Ecobalt Solutions Inc                             	TSX       
ECS.WT    	Ecobalt Solutions Inc Wts                         	TSX       
EDGE      	Evolve Innovation Index ETF                       	TSX       
EDGF.UN   	European Dividend Growth Fund                     	TSX       
EDR       	Endeavour Silver Corp                             	TSX       
EDT       	Spectral Medical Inc                              	TSX       
EDV       	Endeavour Mining Corp                             	TSX       
EF.UN     	European Focused Dividend Fund                    	TSX       
EFH       	Echelon Financial Holdings Inc                    	TSX       
EFL       	Electrovaya Inc                                   	TSX       
EFN       	Element Fleet Management Corp                     	TSX       
EFN.DB    	Element Fleet Mgmt Corp 5.125 Pct Debs            	TSX       
EFN.DB.A  	Element Fleet Mgmt Corp 4.25 Pct Debs             	TSX       
EFN.PR.A  	Element Fleet Mgmt Corp Pref Ser A                	TSX       
EFN.PR.C  	Element Fleet Mgmt Corp Pref Ser C                	TSX       
EFN.PR.E  	Element Fleet Mgmt Corp Pref Ser E                	TSX       
EFN.PR.G  	Element Fleet Mgmt Corp Pref Ser G                	TSX       
EFN.PR.I  	Element Fleet Mgmt Corp Pref Ser I                	TSX       
EFR       	Energy Fuels Inc                                  	TSX       
EFR.DB    	Energy Fuels Inc Debs                             	TSX       
EFR.WT    	Energy Fuels Inc Wts                              	TSX       
EFX       	Enerflex Ltd                                      	TSX       
EGIF      	Exemplar Growth and Income Fund ETF               	TSX       
EGL       	Eagle Energy Inc                                  	TSX       
EHE       	Wisdomtree Europe Hedged Eqty ETF                 	TSX       
EHE.B     	Wisdomtree Europe Hedged Eqty ETF Nh              	TSX       
EIF       	Exchange Income Corp                              	TSX       
EIF.DB.G  	Exchange Income Corp 6.0 Pct Debs                 	TSX       
EIF.DB.H  	Exchange Income Corp 5.25 Pct Debs                	TSX       
EIF.DB.I  	Exchange Income Corp 5.25 Pct Debs                	TSX       
EIF.DB.J  	Exchange Income Corp 5.35 Pct Debs                	TSX       
EIT.PR.A  	Canoe Eit Income Fund Pref Ser 1                  	TSX       
EIT.PR.B  	Canoe Eit Income Fund Pref Ser 2                  	TSX       
EIT.UN    	Canoe Eit Income Fund Units                       	TSX       
ELD       	Eldorado Gold                                     	TSX       
ELF       	E-L Financial                                     	TSX       
ELF.PR.F  	E-L Financial Corp Ltd Pr Ser. 1                  	TSX       
ELF.PR.G  	E- L Financial Corp Limited                       	TSX       
ELF.PR.H  	E - L Financial Corp Ltd Pref Ser 3               	TSX       
ELR       	Eastern Platinum Limited                          	TSX       
ELV       	Powershares S&P Emg Mkts Low Vol ETF              	TSX       
EMA       	Emera Incorporated                                	TSX       
EMA.PR.A  	Emera Inc Series A Pref                           	TSX       
EMA.PR.B  	Emera Inc Pref Sh Series B                        	TSX       
EMA.PR.C  	Emera Inc Pref Sh Series C                        	TSX       
EMA.PR.E  	Emera Inc Pref Ser E                              	TSX       
EMA.PR.F  	Emera Inc Series F Pref                           	TSX       
EMA.PR.H  	Emera Inc Pref Series H                           	TSX       
EML.PR.A  	The Empire Life Insurance Co Pref A               	TSX       
EMP.A     	Empire Company Limited                            	TSX       
EMV.B     	Wisdomtree Emerging Mkts Div Idx ETF              	TSX       
ENB       	Enbridge Inc                                      	TSX       
ENB.PF.A  	Enbridge Inc Pref Ser 9                           	TSX       
ENB.PF.C  	Enbridge Inc Pref Ser 11                          	TSX       
ENB.PF.E  	Enbridge Inc Pref Ser 13                          	TSX       
ENB.PF.G  	Enbridge Inc Pref Ser 15                          	TSX       
ENB.PF.I  	Enbridge Inc Pref Ser 17                          	TSX       
ENB.PF.K  	Enbridge Inc Pref Series 19                       	TSX       
ENB.PF.U  	Enbridge Inc Pref Ser L                           	TSX       
ENB.PF.V  	Enbridge Inc Pref Ser 5 USD                       	TSX       
ENB.PR.A  	Enbridge Pr                                       	TSX       
ENB.PR.B  	Enbridge Inc Cum Redeem Pref Ser B                	TSX       
ENB.PR.C  	Enbridge Inc Pref Ser C                           	TSX       
ENB.PR.D  	Enbridge Inc Pref Ser D                           	TSX       
ENB.PR.F  	Enbridge Inc Pref Ser F                           	TSX       
ENB.PR.H  	Enbridge Inc Pref Ser H                           	TSX       
ENB.PR.J  	Enbridge Inc Pref Ser 7                           	TSX       
ENB.PR.N  	Enbridge Inc Pref Ser N                           	TSX       
ENB.PR.P  	Enbridge Inc Pref Ser P                           	TSX       
ENB.PR.T  	Enbridge Inc Pref Ser R                           	TSX       
ENB.PR.U  	Enbridge Inc Pref Sh Series J                     	TSX       
ENB.PR.V  	Enbridge Inc Pref Ser 1                           	TSX       
ENB.PR.Y  	Enbridge Inc Cum Red Pref Ser 3                   	TSX       
ENGH      	Enghouse Systems Limited                          	TSX       
ENI.UN    	Energy Income Fund                                	TSX       
ENS       	E Split Corp                                      	TSX       
ENS.PR.A  	E Split Corp Pref Shares                          	TSX       
ENT       	Entrec Corp                                       	TSX       
ENT.DB    	Entrec Corporation 8.5 Pct Debs                   	TSX       
EOX       	Euromax Resources Ltd                             	TSX       
EPS       	Epsilon Energy Ltd                                	TSX       
EQB       	Equitable Group Inc                               	TSX       
EQB.PR.C  	Equitable Group Inc Pref Ser 3                    	TSX       
EQL       	Invesco S&P 500 Eql Weight Idx ETF                	TSX       
EQL.F     	Invesco S&P 500 Eql Weight Idx ETF Hgd            	TSX       
ER        	Eastmain Res J                                    	TSX       
ERD       	Erdene Resource Development Corp                  	TSX       
ERF       	Enerplus Corp                                     	TSX       
ERM       	Eclipse Residential Mortgage Inv Corp             	TSX       
ERO       	Ero Copper Corp                                   	TSX       
ESI       	Ensign Energy Services Inc                        	TSX       
ESM       	Euro Sun Mining Inc                               	TSX       
ESN       	Essential Energy Services Ltd                     	TSX       
ESP       	Espial Group Inc                                  	TSX       
ET        	Evertz Technologies Limited                       	TSX       
ETAC      	Equium Global Tactical Allocation Fund            	TSX       
ETG       	Entree Resources Ltd                              	TSX       
ETHI      	Horizons Global Sustain Leaders Idx ETF           	TSX       
ETP       	First Trust Global Risk Managed Inc ETF           	TSX       
ETP.A     	First Trust Glb Risk Managed Inc ETF AC           	TSX       
ETX       	Etrion Corp                                       	TSX       
EUR       	First Trust Alphadex Euro Div ETF                 	TSX       
EUR.A     	First Trust Alphadex Euro Div Idx AC ETF          	TSX       
EVT       	Economic Investment                               	TSX       
EXE       	Extendicare Inc                                   	TSX       
EXE.DB.C  	Extendicare Inc 5 Pct Debs                        	TSX       
EXF       	Exfo Inc                                          	TSX       
EXN       	Excellon Resources Inc                            	TSX       
FAH.U     	Fairfax Africa Holdings Corp                      	TSX       
FAI       	Fa Active Utility and Infrastructure ETF          	TSX       
FAO       	First Asset Active Credit ETF                     	TSX       
FAO.U     	First Asset Active Credit ETF USD                 	TSX       
FAP       	Aberdeen Asia-Pacific Income Invest Ltd           	TSX       
FAR       	Foraco International Sa                           	TSX       
FBE       	First Asset Canadian Buyback Index ETF            	TSX       
FBU       	First Asset US Buyback Index ETF                  	TSX       
FC        	Firm Capital Mortgage Inv. Corp                   	TSX       
FC.DB.B   	Firm Capital Mtg Inv Corp 5.40 Pct Debs           	TSX       
FC.DB.C   	Firm Capital Mortgage Inv 5.25 Pct Debs           	TSX       
FC.DB.D   	Firm Capital Mortgage Inv 4.75 Pct Debs           	TSX       
FC.DB.E   	Firm Cap Mtg Invest Corp 5.30 Pct Debs            	TSX       
FC.DB.F   	Firm Capital Mortgage 5.50 Pct Debs               	TSX       
FC.DB.G   	Firm Capital Mortgage Inv 5.20 Pct Debs           	TSX       
FC.DB.H   	Firm Capital Mortgage 5.30 Pct Debs               	TSX       
FC.DB.I   	Firm Capital Mtg Inv Corp 5.40 Pct Debs           	TSX       
FC.DB.J   	Firm Capital Mtg Inv Corp 5.5 Pct Debs            	TSX       
FCCD      	Fidelity CDN High Div Index ETF                   	TSX       
FCID      	Fidelity Intl High Dividend Index ETF             	TSX       
FCR       	First Capital Realty Inc                          	TSX       
FCRH      	Fidelity US Div Rising Rates Cur Neu Idx          	TSX       
FCRR      	Fidelity US Div For Rising Rates Idx ETF          	TSX       
FCS.PR.C  	Faircourt Split Trust 6.00 Pct Prf C              	TSX       
FCS.UN    	Faircourt Split Trust                             	TSX       
FCU       	Fission Uranium Corp                              	TSX       
FCUD      	Fidelity US High Div Index ETF                    	TSX       
FCUH      	Fidelity US High Div Cur Neu Idx ETF              	TSX       
FCW       	First Asset Cambridge Global Div Hgd ETF          	TSX       
FDE       	First Trust Alphadex Emg Mkt Div ETF CAD          	TSX       
FDE.A     	First Trust Alphadex Emg Mkt Div CAD AC           	TSX       
FDV       	First Asset Active CDN Dividend ETF               	TSX       
FEC       	Frontera Energy Corp                              	TSX       
FF        	First Mining Gold Corp                            	TSX       
FFH       	Fairfax Financial Holdings Ltd                    	TSX       
FFH.PR.C  	Fairfax Fncl Holdings Ltd Pref Ser C              	TSX       
FFH.PR.D  	Fairfax Fncl Holdings Ltd Pref Ser D              	TSX       
FFH.PR.E  	Fairfax Financial Hldngs Pref Ser E               	TSX       
FFH.PR.F  	Fairfax Financial Holdings Pref Ser F             	TSX       
FFH.PR.G  	Fairfax Financial Hldngs Pref Ser G               	TSX       
FFH.PR.H  	Fairfax Fncl Holdings Ltd Pref Ser H              	TSX       
FFH.PR.I  	Fairfax Financial Holdings Series I Pref          	TSX       
FFH.PR.J  	Fairfax Fncl Holdings Ltd Pref Ser J              	TSX       
FFH.PR.K  	Fairfax Financial Holdings Pref Ser K             	TSX       
FFH.PR.M  	Fairfax Financial Holdings Pref Ser M             	TSX       
FFI.UN    	Flaherty & Crumrine Fixed Income Fund             	TSX       
FFN       	North American Financial 15 Split Corp            	TSX       
FFN.PR.A  	North American Fin 15 Split Corp Pref             	TSX       
FGB       	Fa Short Term Govt Bond Index Class ETF           	TSX       
FGE       	Fortress Global Enterprises Inc                   	TSX       
FGE.DB.A  	Fortress Glb Enterprises Inc 7.0 Pct Deb          	TSX       
FGO       	First Asset Enhanced Govt Bond ETF                	TSX       
FGO.U     	First Asset Enhanced Govt Bond ETF USD            	TSX       
FGX       	Faircourt Gold Income Corp                        	TSX       
FHB       	First Asset European Bank ETF                     	TSX       
FHC       	First Trust US Consmr Staples ETF                 	TSX       
FHC.F     	First Trust Ad US Consumer Staples ETF            	TSX       
FHD       	First Trust US Consmr Dscrtn ETF                  	TSX       
FHE       	First Trust US Energy ETF                         	TSX       
FHF       	First Trust US Financial ETF                      	TSX       
FHG       	First Trust US Industrials ETF                    	TSX       
FHG.F     	First Trust Ad US Industrials ETF                 	TSX       
FHH       	First Trust US Health Care ETF                    	TSX       
FHH.F     	First Trust Ad US Health Care ETF                 	TSX       
FHI       	First Asset Hlth Care Giant Cov Call ETF          	TSX       
FHI.B     	First Asset Hlth Care Giant Cov Call Unh          	TSX       
FHM       	First Trust US Materials ETF                      	TSX       
FHQ       	First Trust US Technology ETF                     	TSX       
FHQ.F     	First Trust Ad US Technology ETF                  	TSX       
FHU       	First Trust US Utilities ETF                      	TSX       
FIE       	Ishares CDN Fin Mthly Income ETF                  	TSX       
FIG       	First Asset Investment Grade Bond ETF             	TSX       
FIG.U     	First Asset Invest Grade Bond ETF USD             	TSX       
FIH.U     	Fairfax India Holdings Corporation USD            	TSX       
FINT      	First Trust Intl Capital Strength ETF             	TSX       
FLB       	Fa Long Dur Fixed Inc ETF                         	TSX       
FLBA      	Franklin Liberty Core Balanced ETF                	TSX       
FLCI      	Franklin Liberty CDN Invest Grd Corp ETF          	TSX       
FLDM      	Franklin Libertyqt Intl Eqt Index ETF             	TSX       
FLEM      	Franklin Libertyqt Emerging Mkts Idx ETF          	TSX       
FLGA      	Franklin Liberty Global Agg Bond ETF              	TSX       
FLGD      	Franklin Libertyqt Glb Dividend Idx ETF           	TSX       
FLI       	First Asset US Cda Lifeco Income ETF              	TSX       
FLOT      	Purpose Floating Rate Income Fund ETF             	TSX       
FLOT.B    	Purpose Floating Rate Income Fund ETF Nh          	TSX       
FLOT.U    	Purpose Floating Rate Income Fund USD             	TSX       
FLRM      	Franklin Liberty Risk Mngd CDN Eqt ETF            	TSX       
FLSL      	Franklin Liberty Senior Loan ETF                  	TSX       
FLUI      	Franklin Liberty US Invest Grd Corp ETF           	TSX       
FLUS      	Franklin Libertyqt US Eqt Index ETF               	TSX       
FM        	First Quantum Minerals Ltd                        	TSX       
FN        	First National Financial Corp                     	TSX       
FN.PR.A   	First National Financial Corp Pref A              	TSX       
FN.PR.B   	First National Financial Corp Pref B              	TSX       
FNV       	Franco-Nevada Corp                                	TSX       
FOOD      	Goodfood Market Corp                              	TSX       
FOUR      	Horizons Industry 4.0 Index ETF                   	TSX       
FPR       	Fa Pref Share ETF                                 	TSX       
FQC       	Fa MSCI Can Quality Index Class ETF               	TSX       
FR        	First Majestic Silver Corp Common                 	TSX       
FRII      	Freshii Inc                                       	TSX       
FRL.UN    	Senior Secured Floating Rate Loan Fund            	TSX       
FRU       	Freehold Royalties Ltd                            	TSX       
FRX       	Fennec Pharmaceuticals Inc                        	TSX       
FSB       	First Asset Enhanced Sh Dur Bond ETF              	TSX       
FSB.U     	First Asset Enhanced Sh Dur Bond ETF USD          	TSX       
FSD       	First Trust Sh Dur Hi Yld Bnd ETF                 	TSX       
FSD.A     	First Trust Sh Dur Hi Yld Bnd ETF Ch              	TSX       
FSF       	First Asset Global Financial Sector ETF           	TSX       
FSL       	First Trust Senior Loan ETF                       	TSX       
FSR       	First Trust DW US Sctr Rtn ETF                    	TSX       
FST       	First Trust CDN Capital Strength ETF              	TSX       
FST.A     	First Trust CDN Capital Strength ETF AC           	TSX       
FSV       	Firstservice Corp                                 	TSX       
FSY       	Forsys Metals Corp                                	TSX       
FSZ       	Fiera Capital Corp                                	TSX       
FSZ.DB    	Fiera Capital Corp 5.0 Pct Debs                   	TSX       
FT        	Fortune Mnrl J                                    	TSX       
FTB       	First Trust Tactical Bond Index ETF               	TSX       
FTG       	Firan Technology Group Corp                       	TSX       
FTN       	Financial 15 Split Corp                           	TSX       
FTN.PR.A  	Financial 15 Split Corp                           	TSX       
FTS       	Fortis Inc                                        	TSX       
FTS.PR.F  	Fortis Inc Pref Shares Series F                   	TSX       
FTS.PR.G  	Fortis Inc First Pref Ser G                       	TSX       
FTS.PR.H  	Fortis Inc Pref Ser H                             	TSX       
FTS.PR.I  	Fortis Inc Pref Ser I                             	TSX       
FTS.PR.J  	Fortis Inc Pref Ser J                             	TSX       
FTS.PR.K  	Fortis Inc Pref Ser K                             	TSX       
FTS.PR.M  	Fortis Inc Pref Ser M                             	TSX       
FTT       	Finning Intl                                      	TSX       
FTU       	US Financial 15 Split Corp                        	TSX       
FTU.PR.B  	US Finl 15 Split 2012 Pref Sh                     	TSX       
FUD       	First Trust Alphadex US Div ETF CAD Hdg           	TSX       
FUT       	Fa US Tactical Sector Allocation ETF              	TSX       
FVI       	Fortuna Silver Mines Inc                          	TSX       
FVL       	Freegold Ventures Limited                         	TSX       
FXM       	F A Morningstar Cda Value ETF                     	TSX       
G         	Goldcorp Inc                                      	TSX       
GAF.UN    	Global Alpha Worldwide Growth Fund                	TSX       
GBT       	Bmtc Group Inc                                    	TSX       
GC        	Great Canadian Gaming Corp                        	TSX       
GCG       	Guardian Capital                                  	TSX       
GCG.A     	Guardian Capital Group Ltd Cl.A Nv                	TSX       
GCL       	Colabor Group Inc                                 	TSX       
GCL.DB.A  	Colabor Group Inc 6.0 Pct Debs                    	TSX       
GCM       	Gran Colombia Gold Corp                           	TSX       
GCM.NT.U  	Gran Colombia Gold 5.0 Pct Sil Notes              	TSX       
GCM.WT.A  	Gran Colombia Gold Corp                           	TSX       
GCM.WT.B  	Gran Colombia Gold Corp Wts B                     	TSX       
GCT       	Gvic Communications Corp Class B                  	TSX       
GCT.C     	Gvic Communications Corp N.V. Class C             	TSX       
GDC       	Genesis Land J                                    	TSX       
GDG.UN    	Global Dividend Growers Income Fund               	TSX       
GDI       	Gdi Integrated Facility Services Inc              	TSX       
GDI.DB    	Gdi Integrated Fclty Svcs 5.0 Pct Debs            	TSX       
GDL       	Goodfellow Inc                                    	TSX       
GDV       	Global Dividend Growth Split Corp                 	TSX       
GDV.PR.A  	Global Dividend Growth Split Corp Pref A          	TSX       
GEC.UN    	Global Real Estate & E-Commerce Dividend          	TSX       
GEI       	Gibson Energy Inc                                 	TSX       
GEI.DB    	Gibson Energy Inc 5.25 Pct Debs                   	TSX       
GEN       	Genenews Limited                                  	TSX       
GEO       	Geodrill Limited                                  	TSX       
GGA       	Goldgroup Mining Inc                              	TSX       
GGD       	Gogold Resources Inc                              	TSX       
GH        	Gamehost Inc                                      	TSX       
GIB.A     	CGI Group Inc Cl.A Sv                             	TSX       
GIL       	Gildan Activewear Inc                             	TSX       
GLG       	Glg Life Tech Corp                                	TSX       
GMO       	General Moly Inc                                  	TSX       
GMP       	Gmp Capital Inc                                   	TSX       
GMP.PR.B  	Gmp Capital Inc Series B Pref                     	TSX       
GMP.PR.C  	Gmp Capital Inc Series C Pref                     	TSX       
GMX       	Globex Mining Enterprises Inc                     	TSX       
GOGO      	US Gbl Go Gold Precious Metal ETF                 	TSX       
GOLD      	Goldmining Inc                                    	TSX       
GOLD.WT   	Goldmining Inc Wts                                	TSX       
GOOS      	Canada Goose Holdings Inc                         	TSX       
GPR       	Great Panther Silver Limited                      	TSX       
GPS       	Bsm Technologies Inc                              	TSX       
GQM       	Golden Queen Mng J                                	TSX       
GQM.WT    	Golden Queen Mng Wts                              	TSX       
GRL       	Global Real Estate Div Growers                    	TSX       
GRP.PR.A  	Global Resource Champ Split Pref Ser 1            	TSX       
GRT.UN    	Granite Real Estate Investment Trust              	TSX       
GS        	Gluskin Sheff Associates Inc                      	TSX       
GSC       	Golden Star                                       	TSX       
GSV       	Gold Standard Ventures Corp                       	TSX       
GSY       	Goeasy Ltd                                        	TSX       
GSY.DB    	Goeasy Ltd 5.75 Pct Debs                          	TSX       
GTE       	Gran Tierra Energy Inc                            	TSX       
GTMS      	Greenbrook Tms Inc                                	TSX       
GUD       	Knight Therapeutics Inc                           	TSX       
GUY       	Guyana Goldfields Inc                             	TSX       
GVC       	Glacier Media Inc                                 	TSX       
GWO       	Great-West Lifeco Inc                             	TSX       
GWO.PR.F  	Great-West Lifeco Inc                             	TSX       
GWO.PR.G  	Great-West Lifeco Inc Pr. G                       	TSX       
GWO.PR.H  	Great-West Lifeco Inc 4.85 % Pr.Ser H             	TSX       
GWO.PR.I  	Great-West Lifeco Inc Prf Series I                	TSX       
GWO.PR.L  	Great-West Lifeco Inc Pref Ser L                  	TSX       
GWO.PR.M  	Great West Lifeco Pref Ser M                      	TSX       
GWO.PR.N  	Great West Lifeco Inc Pref Srs N                  	TSX       
GWO.PR.O  	Great West Lifeco Pref Ser O                      	TSX       
GWO.PR.P  	Great West Lifeco Inc 5.4 Pct Pref Sh             	TSX       
GWO.PR.Q  	Great West Lifeco Pref Ser Q                      	TSX       
GWO.PR.R  	Great West Lifeco Inc Ser R                       	TSX       
GWO.PR.S  	Great West Lifeco Pref Ser S                      	TSX       
GWO.PR.T  	Great West Lifeco Pref Ser T                      	TSX       
GWR       	Global Water Resources Inc                        	TSX       
GXE       	Gear Energy Ltd                                   	TSX       
GXO       	Granite Oil Corp                                  	TSX       
H         	Hydro One Limited                                 	TSX       
H.IR      	Hydro One Ltd Instal Rec 4.0 Pct Debs             	TSX       
HAB       	Horizons Active Corporate Bond ETF                	TSX       
HAC       	Horizons Seasonal Rotation ETF                    	TSX       
HAD       	Horizons Active CDN Bond ETF                      	TSX       
HADM      	Horizons Active Intl Dev Mkt Eqty ETF             	TSX       
HAF       	Horizons Active Global Fixed Income ETF           	TSX       
HAJ       	Horizons Active Emerging Mkts Div ETF             	TSX       
HAL       	Horizons Active CDN Dividend ETF                  	TSX       
HARC      	Horizons Abs Return Global Currency ETF           	TSX       
HAU       	Horizons Active US Dividend ETF                   	TSX       
HAU.U     	Horizons Active US Dividend ETF USD               	TSX       
HAZ       	Horizons Active Global Dividend ETF               	TSX       
HBAL      	Horizons Balanced Tri ETF                         	TSX       
HBB       	Horizons CDN Select Universe Bond ETF             	TSX       
HBC       	Hudsons Bay Company                               	TSX       
HBD       	Betapro Gold Bullion 2X Daily Bear ETF            	TSX       
HBF       	Harvest Brand Leaders Plus Income ETF             	TSX       
HBF.U     	Harvest Brand Leaders Plus Income ETF USD         	TSX       
HBG       	Hamilton Capital Global Bank ETF                  	TSX       
HBG.U     	Hamilton Capital Global Bank ETF USD              	TSX       
HBL.UN    	Brand Leaders Income Fund                         	TSX       
HBLK      	Blockchain Technologies ETF                       	TSX       
HBM       	Hudbay Minerals Inc                               	TSX       
